,Text,Tag,Value,doc_id,ID,Prediction
0,入 札 公 告,,,300351389,300351389-1,
1,次のとおり一般競争入札に付します。,,,300351389,300351389-2,
2,平成３０年１月１８日,公告日,平成30年1月18日,300351389,300351389-3,
3,独立行政法人石油天然ガス・金属鉱物資源機構,,,300351389,300351389-4,
4,契約担当役 資源備蓄本部長 渡辺 正俊,,,300351389,300351389-5,
5,１．調達内容,,,300351389,300351389-6,
6,（１）件名及び予定数量等,,,300351389,300351389-7,
7,購入件名：むつ小川原国家石油備蓄基地電力購入（平成３０年度）,入札件名,むつ小川原国家石油備蓄基地電力購入(平成30年度)【,300351389,300351389-8,
8,【特別高圧】,,,300351389,300351389-9,
9,①貯蔵基地,,,300351389,300351389-10,
10,契約電力：１，３１０ｋＷ 年間予定使用電力量：３，５０５千ｋＷｈ,,,300351389,300351389-11,
11,【高圧電力】,,,300351389,300351389-12,
12,①中継ポンプ場,,,300351389,300351389-13,
13,予定契約電力：２５８ｋＷ 年間予定使用電力量：８９６千ｋＷｈ,,,300351389,300351389-14,
14,②消火用水取水場,,,300351389,300351389-15,
15,予定契約電力：４２９ｋＷ 年間予定使用電力量：６２５千ｋＷｈ,,,300351389,300351389-16,
16,③工業用水取水場,,,300351389,300351389-17,
17,予定契約電力：９８ｋＷ 年間予定使用電力量：５３４千ｋＷｈ,,,300351389,300351389-18,
18,④作業船管理場,,,300351389,300351389-19,
19,予定契約電力：１０３ｋＷ 年間予定使用電力量：３０５千ｋＷｈ,,,300351389,300351389-20,
20,※上記５地点（特別高圧：１地点、高圧：４地点）の受電場所を一括とし電力購入する。,,,300351389,300351389-21,
21,（２）件名の特質等 入札説明書による。,,,300351389,300351389-22,
22,（３）契約期間 平成３０年４月１日から平成３１年３月３１日,調達年度;調達終了日;調達開始日,平成30年;平成31年3月31日;平成30年4月1日,300351389,300351389-23,
23,（４）需要場所,,,300351389,300351389-24,
24,電力供給地点が場所毎に異なるため各地点の所在地を以下に記す。,,,300351389,300351389-25,
25,【特別高圧】,,,300351389,300351389-26,
26,①貯蔵基地,,,300351389,300351389-27,
27,青森県上北郡六ヶ所村大字尾駮字二又５２５番地２,都道府県;需要場所(住所),青森県;青森県上北郡六ヶ所村大字字二又525番地2,300351389,300351389-28,
28,むつ小川原国家石油備蓄基地,施設名,むつ小川原国家石油備蓄基地【,300351389,300351389-29,
29,【高圧電力】,,,300351389,300351389-30,
30,①中継ポンプ場,,,300351389,300351389-31,
31,青森県上北郡六ヶ所村大字尾駮字沖付１１１番地,,,300351389,300351389-32,
32,むつ小川原国家石油備蓄基地 中継ポンプ場,,,300351389,300351389-33,
33,②消火用水取水場,,,300351389,300351389-34,
34,青森県上北郡六ヶ所村大字尾駮字表舘２番地３９,都道府県,青森県上北郡六ヶ所村大字字沖付111番地青森県上北郡六ヶ所村大字字表舘2番地39青森県上北郡六ヶ所村大字字上22番地6,300351389,300351389-35,
35,むつ小川原国家石油備蓄基地 消火用水取水場,施設名,むつ小川原国家石油備蓄基地中継ポンプ場むつ小川原国家石油備蓄基地消火用水取水場むつ小川原国家石油備蓄基地工業用水取水場,300351389,300351389-36,
36,- 1 -,,,300351389,300351389-37,
37,③工業用水取水場,,,300351389,300351389-38,
38,青森県上北郡六ヶ所村大字尾駮字上尾駮２２番地６,需要場所(住所),青森県上北郡六ヶ所村大字字沖付111番地県上北郡六ヶ所村大字字表舘2番地青森県上北郡六ヶ所村大字字上22番地6,300351389,300351389-39,
39,むつ小川原国家石油備蓄基地 工業用水取水場,,,300351389,300351389-40,
40,④作業船管理場,,,300351389,300351389-41,
41,青森県上北郡六ヶ所村大字鷹架発茶沢３３－５０,都道府県;需要場所(住所),青森県上北郡六ヶ所村大字鷹架発茶沢33-50;青森県上北郡六ヶ所村大字鷹架発茶沢33-50,300351389,300351389-42,
42,むつ小川原国家石油備蓄基地 作業船管理場,施設名,むつ小川原国家石油備蓄基地作業船管理場,300351389,300351389-43,
43,（５）入札方法 入札金額は、各社において設定する契約電力に対する単一の単価（ｋＷ単,,,300351389,300351389-44,
44,価）及び使用電力量に対する単価（ｋＷｈ単価）を記載すること（その他、,,,300351389,300351389-45,
45,単価内訳がある場合、該当するものの内訳を別途提出すること。）また、託送,,,300351389,300351389-46,
46,料が必要な事業者にあっては、その内訳を記載すること（小数点以下を含む,,,300351389,300351389-47,
47,ことができる。）,,,300351389,300351389-48,
48,落札の決定に当たっては、独立行政法人石油天然ガス・金属鉱物資源機構,,,300351389,300351389-49,
49,（以下「機構」という。）が提示する計画使用電力量を基に計算した総価で行,,,300351389,300351389-50,
50,うので、当該総価を上記の単価と併せて記載すること（各社において、電力,,,300351389,300351389-51,
51,料金における各種サービスがある場合には、その金額を織り込んだものを総,,,300351389,300351389-52,
52,価とすること。）,,,300351389,300351389-53,
53,なお、入札者は、消費税及び地方消費税に係る課税業者であるか免税業者,,,300351389,300351389-54,
54,であるかを問わず、入札書には入札者が見積もった価格の１０８分の１００,,,300351389,300351389-55,
55,に該当する金額を入札書に記載すること。,,,300351389,300351389-56,
56,２．競争参加資格,,,300351389,300351389-57,
57,入札参加資格は、次の条件を満たす者であること。,,,300351389,300351389-58,
58,（１）機構の「競争参加者の資格に関する公示」の「３ 競争に参加することができない者」に,,,300351389,300351389-59,
59,該当しない者であること。,,,300351389,300351389-60,
60,（２）国の平成２８･２９･３０年度競争参加資格（全省庁統一資格）のうち、「物品の販売」で,,,300351389,300351389-61,
61,「Ａ」、「Ｂ」若しくは「Ｃ」の等級に格付けされている者であること。,,,300351389,300351389-62,
62,なお、当該資格を有しない者にあっては、入札日までに競争参加資格審査を受け、当該等,,,300351389,300351389-63,
63,級が格付けされた者であること。,,,300351389,300351389-64,
64,（３）本邦法人であること。,,,300351389,300351389-65,
65,（４）現在、国又は政府関係機関等から補助金交付の停止又は契約に係る指名停止等の行政処,,,300351389,300351389-66,
66,分を受けていないこと。,,,300351389,300351389-67,
67,（５）電気事業法第２条の２の規定に基づく小売電気事業の登録を受けている者であること。,,,300351389,300351389-68,
68,（６）むつ小川原国家石油備蓄基地に設置した受電設備及び使用する負荷設備に対し、電力供,,,300351389,300351389-69,
69,給が可能な者であること。,,,300351389,300351389-70,
70,（７）省ＣＯ 化の要素を考慮する観点から、入札説明書に記載する基準により「裾切り方式」 ２,,,300351389,300351389-71,
71,を実施し条件を満たす者であること。,,,300351389,300351389-72,
72,（８）一般競争入札参加申請書を提出し、入札参加資格の通知を受けた者であること。,,,300351389,300351389-73,
73,- 2 -,,,300351389,300351389-74,
74,３．一般競争入札参加申請書の提出場所等,,,300351389,300351389-75,
75,（１）一般競争入札参加申請書の提出場所及び問い合わせ先,,,300351389,300351389-76,
76,〒105-0001 東京都港区虎ノ門二丁目１０番１号,質問箇所所属/担当者,〒105-0001東京都港区虎ノ門二丁目10番1号独立行政法人石油天然ガス・金属鉱物資源機構石油備蓄部基地管理課若田健次(,300351389,300351389-77,
77,独立行政法人石油天然ガス・金属鉱物資源機構,,,300351389,300351389-78,
78,石油備蓄部 基地管理課 若田 健次,,,300351389,300351389-79,
79,（電 話） ０３－６７５８－８５１７,質問箇所TEL/FAX,話)03-6758-8517,300351389,300351389-80,
80,（ＦＡＸ） ０３－６７５８－８０６４,質問箇所TEL/FAX,(FAX)03-6758-8064,300351389,300351389-81,
81,（Ｅmail） wakata-kenji@jogmec.go.jp,,,300351389,300351389-82,
82,（２）入札説明書等の交付,,,300351389,300351389-83,
83,入札説明書は機構ホームページに公示する。,,,300351389,300351389-84,
84,（３）入札説明会開催の有無：無,,,300351389,300351389-85,
85,（４）一般競争入札参加申請書の提出期限,,,300351389,300351389-86,
86,平成３０年２月５日（月）１２時までに郵送若しくは持ち込みにより提出のこと。,資格申請締切日時,平成30年2月5日(月)12時,300351389,300351389-87,
87,（５）入札参加資格通知日 平成３０年２月５日（月）～平成３０年２月６日（火）,仕様書交付期限,平成30年2月6日(火),300351389,300351389-88,
88,４．入札日時、場所,,,300351389,300351389-89,
89,（１）入札日時：平成３０年２月８日（木）１１時００分,開札日時,平成30年2月8日(木)11時00分,300351389,300351389-90,
90,（２）入札場所：東京都港区虎ノ門二丁目１０番１号 虎ノ門ツインビルディング,開札場所,東京都港区虎ノ門二丁目10番1号虎ノ門ツインビルディング独立行政法人石油天然ガス・金属鉱物資源機構13階会議室,300351389,300351389-91,
91,独立行政法人石油天然ガス・金属鉱物資源機構 １３階会議室,,,300351389,300351389-92,
92,５．その他,,,300351389,300351389-93,
93,（１）契約手続において使用する言語及び通貨,,,300351389,300351389-94,
94,日本語及び日本国通貨。,,,300351389,300351389-95,
95,（２）入札保証金及び契約保証金,,,300351389,300351389-96,
96,全額免除。,,,300351389,300351389-97,
97,（３）入札者に要求される事項,,,300351389,300351389-98,
98,① この競争に参加を希望する者は、本公告に示した調達品を納入できることを証明する,,,300351389,300351389-99,
99,書類を入札参加申請書に添付して提出しなければならない。,,,300351389,300351389-100,
100,② 入札者は、入札参加資格の通知の前日までの間において、契約担当役から上の書類に,,,300351389,300351389-101,
101,関し照会があった場合には、それに応じなければならない。,,,300351389,300351389-102,
102,（４）入札の無効 本公告に示した競争参加資格のない者の提出した入札書及び入札に関する,,,300351389,300351389-103,
103,条件に違反した者の提出した入札書は無効とする。,,,300351389,300351389-104,
104,（５）契約書作成の要否 要。,,,300351389,300351389-105,
105,（６）落札者の決定方法,,,300351389,300351389-106,
106,入札参加資格の通知を受けた者であって、予定価格の制限の範囲内で最低価格をもって,,,300351389,300351389-107,
107,有効な入札を行った者を落札者とする。ただし、落札者となるべき者の入札価格によって,,,300351389,300351389-108,
108,は、その者により当該契約の内容に適合した履行がなされない恐れがあると認められると,,,300351389,300351389-109,
109,き又はその者と契約を締結することが公正な取引の秩序を乱すこととなる恐れがあって著,,,300351389,300351389-110,
110,しく不適当であると認められるときは、予定価格の制限の範囲内の価格をもって入札した,,,300351389,300351389-111,
111,他の者のうち最低の価格をもって入札した者を落札者とすることがある。,,,300351389,300351389-112,
112,（７）手続きにおける交渉の有無 無。,,,300351389,300351389-113,
113,- 3 -,,,300351389,300351389-114,
114,（８）詳細は入札説明書による。,,,300351389,300351389-115,
115,（９）本事業に係る契約締結は、機構が平成３０年度国家備蓄石油管理等業務を受託すること,,,300351389,300351389-116,
116,を条件とします。,,,300351389,300351389-117,
117,○契約の公表に係る留意事項,,,300351389,300351389-118,
118,独立行政法人が行う契約については、「独立行政法人の事務・事業の見直しの基本方針」（平,,,300351389,300351389-119,
119,成２２年１２月７日閣議決定）において、独立行政法人と一定の関係を有する法人と契約をす,,,300351389,300351389-120,
120,る場合には、当該法人への再就職の状況、当該法人との間の取引等の状況について情報を公開,,,300351389,300351389-121,
121,するなどの取組を進めるとされているところです。,,,300351389,300351389-122,
122,これに基づき、以下のとおり、機構との関係に係る情報を機構のホームページで公表するこ,,,300351389,300351389-123,
123,ととしますので、所要の情報の当方への提供及び情報の公表に同意の上で、応札若しくは応募,,,300351389,300351389-124,
124,又は契約の締結を行っていただくよう御理解と御協力をお願いいたします。,,,300351389,300351389-125,
125,なお、案件への応札若しくは応募又は契約の締結をもって同意されたものとみなさせていた,,,300351389,300351389-126,
126,だきますので、ご了知願います。,,,300351389,300351389-127,
127,（１）公表の対象となる契約先,,,300351389,300351389-128,
128,次のいずれにも該当する契約先,,,300351389,300351389-129,
129,① 機構において役員を経験した者（役員経験者）が再就職していること又は課長相当職,,,300351389,300351389-130,
130,以上の職を経験した者（課長相当職以上経験者）が役員、顧問等として再就職している,,,300351389,300351389-131,
131,こと,,,300351389,300351389-132,
132,② 機構との間の取引高が、総売上高又は事業収入の３分の１以上を占めていること,,,300351389,300351389-133,
133,※ 予定価格が一定の金額を超えない契約や光熱水費の支出に係る契約等は対象外,,,300351389,300351389-134,
134,（２）公表する情報,,,300351389,300351389-135,
135,上記に該当する契約先について、契約ごとに、物品役務等の名称及び数量、契約締結日、,,,300351389,300351389-136,
136,契約先の名称、契約金額等と併せ、次に掲げる情報を公表します。,,,300351389,300351389-137,
137,① 機構の役員経験者及び課長相当職以上経験者（機構ＯＢ）の人数、職名及び機構にお,,,300351389,300351389-138,
138,ける最終職名,,,300351389,300351389-139,
139,② 機構との間の取引高,,,300351389,300351389-140,
140,③ 総売上高又は事業収入に占める機構との間の取引高の割合が、次の区分のいずれかに,,,300351389,300351389-141,
141,該当する旨,,,300351389,300351389-142,
142,３分の１以上２分の１未満、２分の１以上３分の２未満又は３分の２以上,,,300351389,300351389-143,
143,④ 一者応札又は一者応募である場合はその旨,,,300351389,300351389-144,
144,（３）当方に提供していただく情報,,,300351389,300351389-145,
145,① 契約締結日時点で在職している機構ＯＢに係る情報（人数、現在の職名及び機構にお,,,300351389,300351389-146,
146,ける最終職名等）,,,300351389,300351389-147,
147,② 直近の事業年度における総売上高又は事業収入及び機構との間の取引高,,,300351389,300351389-148,
148,（４）公表日,,,300351389,300351389-149,
149,契約締結日の翌日から起算して原則として９３日以内,,,300351389,300351389-150,
0,入 札 公 告,,,300351407,300351407-1,
1,次のとおり一般競争入札に付します。,,,300351407,300351407-2,
2,平成３０年１月１８日,公告日,平成30年1月18日,300351407,300351407-3,
3,独立行政法人石油天然ガス・金属鉱物資源機構,,,300351407,300351407-4,
4,契約担当役 資源備蓄本部長 渡辺 正俊,,,300351407,300351407-5,
5,１．調達内容,,,300351407,300351407-6,
6,（１）件名及び予定数量等,,,300351407,300351407-7,
7,購入件名：白島国家石油備蓄基地（本土側事務所及び白島展示館）,入札件名,白島国家石油備蓄基地(本土側事務所及び白島展示館)高圧電力購入(平成30年度)予定,300351407,300351407-8,
8,高圧電力購入（平成３０年度）,,,300351407,300351407-9,
9,予定契約電力：２５３ｋＷ 年間予定使用電力量：４１８千ｋＷｈ,,,300351407,300351407-10,
10,（２）件名の特質等 入札説明書による。,,,300351407,300351407-11,
11,（３）契約期間 平成３０年４月１日から平成３１年３月３１日,調達年度;調達終了日;調達開始日,平成30年;平成31年3月31日;平成30年4月1日,300351407,300351407-12,
12,（４）需要場所 福岡県北九州市若松区響町一丁目１０８番,都道府県;需要場所(住所),福岡県北九州;福岡県北九州市若松区響町一丁目108番,300351407,300351407-13,
13,白島国家石油備蓄基地（本土側事務所及び白島展示館）,施設名,白島国家石油備蓄基地(本土側事務所及び白島展示館),300351407,300351407-14,
14,（５）入札方法 入札金額は、各社において設定する契約電力に対する単一の単価（ｋＷ単価）,,,300351407,300351407-15,
15,及び使用電力量に対する単価（ｋＷｈ単価）を記載すること（その他、単価内,,,300351407,300351407-16,
16,訳がある場合、該当するものの内訳を別途提出すること。）また、託送料が必,,,300351407,300351407-17,
17,要な事業者にあっては、その内訳を記載すること（小数点以下を含むことがで,,,300351407,300351407-18,
18,きる。）,,,300351407,300351407-19,
19,落札の決定に当たっては、独立行政法人石油天然ガス・金属鉱物資源機構（以,,,300351407,300351407-20,
20,下「機構」という。）が提示する計画使用電力量を基に計算した総価で行うの,,,300351407,300351407-21,
21,で、当該総価を上記の単価と併せて記載すること（各社において、電力料金に,,,300351407,300351407-22,
22,おける各種サービスがある場合には、その金額を織り込んだものを総価とする,,,300351407,300351407-23,
23,こと。）,,,300351407,300351407-24,
24,なお、入札者は、消費税及び地方消費税に係る課税業者であるか免税業者で,,,300351407,300351407-25,
25,あるかを問わず、入札書には入札者が見積もった価格の１０８分の１００に該,,,300351407,300351407-26,
26,当する金額を入札書に記載すること。,,,300351407,300351407-27,
27,２．競争参加資格,,,300351407,300351407-28,
